rank,word,count
1,۾,7804
2,کي,5177
3,تي,2331
4,ڪري,2314
5,ٿي,2296
6,ت,1878
7,کان,1829
8,جا,1732
9,سان,1604
10,لاءِ,1590
11,مان,1334
12,ڪرڻ,1152
13,سنڌ,1074
14,ٿو,1052
15,ب,966
16,هڪ,961
17,تہ,881
18,ن,806
19,و,788
20,ته,729
21,ماڻهن,717
22,جنهن,702
23,ٿا,682
24,ڪيو,668
25,ويو,650
26,هئي,637
27,وقت,599
28,وڃي,599
29,پنهنجي,563
30,َ,548
31,سندن,542
32,جن,537
33,طرح,521
34,ڪي,504
35,پيدا,478
36,حڪومت,464
37,سنڌي,463
38,واري,454
39,ئي,454
40,ملڪ,448
41,اُن,448
42,سند,431
43,طرف,410
44,ڪن,403
45,هر,402
46,جون,390
47,ويا,375
48,دور,375
49,ڪئي,372
50,اچي,371
51,پاڻ,370
52,حاصل,365
53,ماڻهو,362
54,محمد,354
55,پاڪستان,350
56,اها,346
57,سندس,333
58,ٻين,333
59,ع,332
60,حضرت,329
61,پنہنجي,328
62,ٿيڻ,326
63,كري,304
64,مذهب,302
65,تائين,295
66,جدا,295
67,ٿيو,294
68,ه,290
69,پوءِ,285
70,خدا,282
71,ِ,279
72,نہ,275
73,رهي,272
74,مفاد,269
75,۱,269
76,زمين,266
77,ٻئي,257
78,ڪيل,257
79,نالي,256
80,هڪا,252
81,پيش,250
82,ملڪن,249
83,لا,247
84,ُ,245
85,سندين,245
86,کين,239
87,سندي,234
88,ٻ,232
89,پنجاب,232
90,بمد,231
91,قومي,229
92,جنہن,228
93,وغيره,228
94,آهي،,227
95,ا,226
96,عرب,223
97,تن,221
98,علي,219
99,ٿيا,219
100,هنن,219
101,اسلام,218
102,سگهي,217
103,رهيا,216
104,مذهبي,216
105,قوم,215
106,ٿئي,214
107,پاڻي,213
108,رهيو,213
109,دنيا,211
110,ڪيا,207
111,شروع,206
112,ذريعي,206
113,سامراج,206
114,سنڌوءَ,201
115,صاحب,200
116,طور,200
117,بي,198
118,،,198
119,زبان,198
120,رکي,197
121,موجب,197
122,صرف,196
123,مختلف,196
124,غير,194
125,وارن,192
126,ڪنهن,192
127,حالت,191
128,هٿ,190
129,وري,189
130,پئي,188
131,ڏئي,188
132,كتاب,187
133,سن,187
134,ٿيل,185
135,ڪوشش,182
136,ران,181
137,وڃن,180
138,مسلمان,179
139,ڏينهن,178
140,كہاڻي,177
141,هئڻ,176
142,مطابق,175
143,بابت,174
144,خلاف,173
145,شاعري,172
146,جڎهن,172
147,زندگي,172
148,روھ,171
149,ٿيون,171
150,ڏيڻ,170
151,عربن,169
152,جملي,168
153,سمجهي,167
154,وانگر,166
155,ڪم,165
156,ذڪر,165
157,ويندو,164
158,صورت,162
159,ساڃاھ,161
160,چوڻ,160
161,اثر,159
162,وجود,159
163,سياسي,158
164,سي,157
165,نظر,157
166,مستقل,157
167,اهڙيءَ,157
168,آيو,156
169,وڌيڪ,156
170,مسلمانن,156
171,ويئي,155
172,ون,155
173,ڪجه,154
174,وٺي,153
175,پيو,153
176,بعد,153
177,رکڻ,153
178,هك,152
179,ڏنو,150
180,گهڻي,150
181,طرفان,150
182,خود,149
183,بہ,149
184,تان,148
185,شاگردن,148
186,سرڪار,148
187,حق,147
188,سو,146
189,معلوم,145
190,خان,145
191,ڪتب,145
192,آزاد,144
193,خاص,143
194,شاه,143
195,هلي,142
196,کيس,141
197,كنہن,139
198,عام,139
199,صحيح,138
200,وارو,137
